,Linear Regression,Polynomial Regression,ARIMA,Simple Exponential Smoothing,Holt's Method,Legend
1/2017,6.0,6.0,6.0,6.0,6.0,Actual Values
2/2017,0.0,0.0,0.0,0.0,0.0,Actual Values
3/2017,1.0,1.0,1.0,1.0,1.0,Actual Values
4/2017,0.0,0.0,0.0,0.0,0.0,Actual Values
5/2017,1.0,1.0,1.0,1.0,1.0,Actual Values
6/2017,0.0,0.0,0.0,0.0,0.0,Actual Values
7/2017,0.0,0.0,0.0,0.0,0.0,Actual Values
8/2017,0.0,0.0,0.0,0.0,0.0,Actual Values
9/2017,1.0,1.0,1.0,1.0,1.0,Actual Values
10/2017,868.0,868.0,868.0,868.0,868.0,Actual Values
11/2017,38.0,38.0,38.0,38.0,38.0,Actual Values
12/2017,0.0,0.0,0.0,0.0,0.0,Actual Values
1/2018,1.0,1.0,1.0,1.0,1.0,Actual Values
2/2018,17.0,17.0,17.0,17.0,17.0,Actual Values
3/2018,0.0,0.0,0.0,0.0,0.0,Actual Values
4/2018,4.0,4.0,4.0,4.0,4.0,Actual Values
5/2018,14.0,14.0,14.0,14.0,14.0,Actual Values
6/2018,2.0,2.0,2.0,2.0,2.0,Actual Values
7/2018,0.0,0.0,0.0,0.0,0.0,Actual Values
8/2018,0.0,0.0,0.0,0.0,0.0,Actual Values
9/2018,0.0,0.0,0.0,0.0,0.0,Actual Values
10/2018,7.0,7.0,7.0,7.0,7.0,Actual Values
11/2018,12.0,12.0,12.0,12.0,12.0,Actual Values
12/2018,1.0,1.0,1.0,1.0,1.0,Actual Values
1/2019,1.0,1.0,1.0,1.0,1.0,Actual Values
2/2019,6.0,6.0,6.0,6.0,6.0,Actual Values
3/2019,0.0,0.0,0.0,0.0,0.0,Actual Values
4/2019,2.0,2.0,2.0,2.0,2.0,Actual Values
5/2019,6.0,6.0,6.0,6.0,6.0,Actual Values
6/2019,2.0,2.0,2.0,2.0,2.0,Actual Values
7/2019,4.0,4.0,4.0,4.0,4.0,Actual Values
8/2019,72.0,72.0,72.0,72.0,72.0,Actual Values
9/2019,2.0,2.0,2.0,2.0,2.0,Actual Values
10/2019,14.0,14.0,14.0,14.0,14.0,Actual Values
11/2019,6.0,6.0,6.0,6.0,6.0,Actual Values
12/2019,3.0,3.0,3.0,3.0,3.0,Actual Values
1/2020,1.0,1.0,1.0,1.0,1.0,Actual Values
2/2020,0.0,0.0,0.0,0.0,0.0,Actual Values
3/2020,2.0,2.0,2.0,2.0,2.0,Actual Values
4/2020,0.0,0.0,0.0,0.0,0.0,Actual Values
5/2020,0.0,0.0,0.0,0.0,0.0,Actual Values
6/2020,5.0,5.0,5.0,5.0,5.0,Actual Values
7/2020,7.0,7.0,7.0,7.0,7.0,Actual Values
8/2020,0.0,0.0,0.0,0.0,0.0,Actual Values
9/2020,0.0,0.0,0.0,0.0,0.0,Actual Values
10/2020,0.0,0.0,0.0,0.0,0.0,Actual Values
11/2020,0.0,0.0,0.0,0.0,0.0,Actual Values
12/2020,0.0,0.0,0.0,0.0,0.0,Actual Values
1/2021,4.0,4.0,4.0,4.0,4.0,Actual Values
2/2021,2.0,2.0,2.0,2.0,2.0,Actual Values
3/2021,4.0,4.0,4.0,4.0,4.0,Actual Values
4/2021,4.0,4.0,4.0,4.0,4.0,Actual Values
